relative_time,LinearAccelerometerSensor,AccX,AccY
104922,,10.069950103759766,
104923,0.6534344355375876,,-3.999000072479248
104926,,,
104927,,9.77595043182373,
104928,,,-3.790950298309326
104932,,9.373950004577637,
104933,,,-3.091050148010254
104935,,,
104937,,9.02595043182373,
104938,,,-2.9880001544952393
104942,0.7228184286056659,,
104943,,8.44694995880127,-2.5000500679016113
104947,,8.116950035095215,
104948,,,-1.9350000619888306
104953,,7.743000507354736,-1.7670000791549683
104958,,7.396050453186035,
104959,,,-1.477950096130371
104963,,6.967050552368164,
104964,0.5761009560598113,,-1.1759999990463257
104968,,6.678000450134277,-0.9720000624656677
104973,,6.462000370025635,-0.9799500703811646
104977,,,
104978,,6.402000427246094,-1.054050087928772
104980,,,
104983,0.4444820624895559,,
104987,,,
104988,,6.390000343322754,
104989,,6.541050434112549,-1.0830000638961792
104993,,6.919050216674805,-1.281000018119812
104998,,7.26900053024292,-1.39395010471344
105003,0.5436669669934973,7.549050331115723,-1.477950096130371
105008,,7.73805046081543,-1.4940000772476196
105013,,7.942050457000732,
105014,,,-1.4899500608444214
105015,,,
105018,,8.320050239562988,-1.546950101852417
105024,0.6368666401053307,8.71500015258789,-1.67205011844635
105026,,,
105028,,8.965950012207031,-2.0400002002716064
105033,,9.253950119018555,
105034,,,-2.3680500984191895
105038,,9.445050239562988,-2.746950149536133
105043,,9.64905071258545,
105044,0.5191849436331364,,-3.172950267791748
105049,,9.891000747680664,-3.5220000743865967
105054,,9.907050132751465,
105055,,,-3.4699501991271973
105056,,,
105062,,10.057950019836426,-3.1180500984191895
105063,0.3004542344188051,11.19795036315918,-2.965050220489502
105069,,12.32805061340332,-2.931000232696533
105073,,12.793050765991211,
105074,,,-2.656050205230713
105076,,,
105078,,12.697051048278809,
105079,,,-2.364000082015991
105083,,12.139050483703613,
105084,0.2291227735763988,,-2.0500500202178955
105090,,11.575950622558594,-1.6519501209259033
105094,,11.188050270080566,-1.5229500532150269
105095,,,
105099,,11.071050643920898,-1.6000500917434692
105103,,10.968000411987305,
105104,0.4583690008099074,,-1.3290001153945923
105109,,10.891050338745117,-0.6709500551223755
105114,,10.851000785827637,0.13005000352859497
